productType,variantId,sku,prices,tax,categories,images,name.en,name.jp,description.en,description.jp,slug.en,slug.jp,metaTitle.en,metaTitle.jp,metaDescription.en,metaDescription.jp,metaKeywords.en,metaKeywords.jp,name.de,description.de,slug.de,metaTitle.de,metaDescription.de,metaKeywords.de,name.it,description.it,slug.it,metaTitle.it,metaDescription.it,metaKeywords.it,creationDate,articleNumberManufacturer,articleNumberMax,matrixId,baseId,designer,madeInItaly,completeTheLook,commonSize,size,color,colorFreeDefinition.en,colorFreeDefinition.jp,details.en,details.jp,colorFreeDefinition.de,details.de,colorFreeDefinition.it,details.it,style,gender,season,isOnStock,isLook,lookProducts,seasonNew
,10,M0E20000000E1B8,EUR 15000;EUR 9836 b2b;USD 15000;USD 9836 b2b;DE-EUR 12000;IT-EUR 12000;GB-EUR 12000;DE-EUR 12000#sunrise-store-berlin;EUR 14550#sunrise-store-vienna;DE-EUR 12000#sunrise-store-munich;DE-EUR 12000#sunrise-store-cologne;DE-EUR 12000#sunrise-store-hamburg;US-USD 12000#sunrise-store-boston-2;USD 14550#sunrise-store-chicago;US-USD 12000#sunrise-store-boston-1;US-USD 12000#sunrise-store-sanfrancisco;US-USD 12000#sunrise-store-newyork,,,https://s3-eu-west-1.amazonaws.com/commercetools-maximilian/products/079560_1_large.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,MT980 BB,79560,M0E20000000E1B8,79560,newbalance,no,,43.5,9.5,multicolored,multi,マルチ,,,multi,,,,sporty,men,s15,,,,
,11,M0E20000000E1B9,EUR 15000;EUR 9836 b2b;USD 15000;USD 9836 b2b;DE-EUR 12000;IT-EUR 12000;GB-EUR 12000;DE-EUR 12840#sunrise-store-berlin;EUR 14700#sunrise-store-vienna;DE-EUR 12720#sunrise-store-munich;DE-EUR 12120#sunrise-store-cologne;DE-EUR 12720#sunrise-store-hamburg;US-USD 12840#sunrise-store-boston-2;USD 14700#sunrise-store-chicago;US-USD 12720#sunrise-store-boston-1;US-USD 12120#sunrise-store-sanfrancisco;US-USD 12720#sunrise-store-newyork,,,https://s3-eu-west-1.amazonaws.com/commercetools-maximilian/products/079560_1_large.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,MT980 BB,79560,M0E20000000E1B9,79560,newbalance,no,,44,10,multicolored,multi,マルチ,,,multi,,,,sporty,men,s15,,,,
,12,M0E20000000E1BA,EUR 15000;EUR 9836 b2b;USD 15000;USD 9836 b2b;DE-EUR 12000;IT-EUR 12000;GB-EUR 12000;DE-EUR 11640#sunrise-store-berlin;EUR 16200#sunrise-store-vienna;DE-EUR 11520#sunrise-store-munich;DE-EUR 10920#sunrise-store-cologne;DE-EUR 11400#sunrise-store-hamburg;US-USD 11640#sunrise-store-boston-2;USD 16200#sunrise-store-chicago;US-USD 11520#sunrise-store-boston-1;US-USD 10920#sunrise-store-sanfrancisco;US-USD 11400#sunrise-store-newyork,,,https://s3-eu-west-1.amazonaws.com/commercetools-maximilian/products/079560_1_large.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,MT980 BB,79560,M0E20000000E1BA,79560,newbalance,no,,44.5,10.5,multicolored,multi,マルチ,,,multi,,,,sporty,men,s15,,,,
,13,M0E20000000E1BB,EUR 15000;EUR 9836 b2b;USD 15000;USD 9836 b2b;DE-EUR 12000;IT-EUR 12000;GB-EUR 12000;DE-EUR 11760#sunrise-store-berlin;EUR 14100#sunrise-store-vienna;DE-EUR 12960#sunrise-store-munich;DE-EUR 11640#sunrise-store-cologne;DE-EUR 12840#sunrise-store-hamburg;US-USD 11760#sunrise-store-boston-2;USD 14100#sunrise-store-chicago;US-USD 12960#sunrise-store-boston-1;US-USD 11640#sunrise-store-sanfrancisco;US-USD 12840#sunrise-store-newyork,,,https://s3-eu-west-1.amazonaws.com/commercetools-maximilian/products/079560_1_large.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,MT980 BB,79560,M0E20000000E1BB,79560,newbalance,no,,45,11,multicolored,multi,マルチ,,,multi,,,,sporty,men,s15,TRUE,,,
,14,M0E20000000E1BC,EUR 15000;EUR 9836 b2b;USD 15000;USD 9836 b2b;DE-EUR 12000;IT-EUR 12000;GB-EUR 12000;DE-EUR 12480#sunrise-store-berlin;EUR 15750#sunrise-store-vienna;DE-EUR 11280#sunrise-store-munich;DE-EUR 13080#sunrise-store-cologne;DE-EUR 11160#sunrise-store-hamburg;US-USD 12480#sunrise-store-boston-2;USD 15750#sunrise-store-chicago;US-USD 11280#sunrise-store-boston-1;US-USD 13080#sunrise-store-sanfrancisco;US-USD 11160#sunrise-store-newyork,,,https://s3-eu-west-1.amazonaws.com/commercetools-maximilian/products/079560_1_large.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,MT980 BB,79560,M0E20000000E1BC,79560,newbalance,no,,45.5,11.5,multicolored,multi,マルチ,,,multi,,,,sporty,men,s15,,,,
,15,M0E20000000E1BD,EUR 15000;EUR 9836 b2b;USD 15000;USD 9836 b2b;DE-EUR 12000;IT-EUR 12000;GB-EUR 12000;DE-EUR 11400#sunrise-store-berlin;EUR 13650#sunrise-store-vienna;DE-EUR 11400#sunrise-store-munich;DE-EUR 11400#sunrise-store-cologne;DE-EUR 11280#sunrise-store-hamburg;US-USD 11400#sunrise-store-boston-2;USD 13650#sunrise-store-chicago;US-USD 11400#sunrise-store-boston-1;US-USD 11400#sunrise-store-sanfrancisco;US-USD 11280#sunrise-store-newyork,,,https://s3-eu-west-1.amazonaws.com/commercetools-maximilian/products/079560_1_large.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,MT980 BB,79560,M0E20000000E1BD,79560,newbalance,no,,46,12,multicolored,multi,マルチ,,,multi,,,,sporty,men,s15,,,,
,16,M0E20000000E1BE,EUR 15000;EUR 9836 b2b;USD 15000;USD 9836 b2b;DE-EUR 12000;IT-EUR 12000;GB-EUR 12000;DE-EUR 12240#sunrise-store-berlin;EUR 13800#sunrise-store-vienna;DE-EUR 12120#sunrise-store-munich;DE-EUR 11520#sunrise-store-cologne;DE-EUR 12120#sunrise-store-hamburg;US-USD 12240#sunrise-store-boston-2;USD 13800#sunrise-store-chicago;US-USD 12120#sunrise-store-boston-1;US-USD 11520#sunrise-store-sanfrancisco;US-USD 12120#sunrise-store-newyork,,,https://s3-eu-west-1.amazonaws.com/commercetools-maximilian/products/079560_1_large.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,MT980 BB,79560,M0E20000000E1BE,79560,newbalance,no,,46.5,12.5,multicolored,multi,マルチ,,,multi,,,,sporty,men,s15,,,,
,17,M0E20000000E1BF,EUR 15000;EUR 9836 b2b;USD 15000;USD 9836 b2b;DE-EUR 12000;IT-EUR 12000;GB-EUR 12000;DE-EUR 12360#sunrise-store-berlin;EUR 14850#sunrise-store-vienna;DE-EUR 11040#sunrise-store-munich;DE-EUR 12360#sunrise-store-cologne;DE-EUR 10920#sunrise-store-hamburg;US-USD 12360#sunrise-store-boston-2;USD 14850#sunrise-store-chicago;US-USD 11040#sunrise-store-boston-1;US-USD 12360#sunrise-store-sanfrancisco;US-USD 10920#sunrise-store-newyork,,,https://s3-eu-west-1.amazonaws.com/commercetools-maximilian/products/079560_1_large.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,MT980 BB,79560,M0E20000000E1BF,79560,newbalance,no,,47,13,multicolored,multi,マルチ,,,multi,,,,sporty,men,s15,,,,
main,1,M0E20000000E2Q5,EUR 10750;EUR 7049 b2b;USD 10750;USD 7049 b2b;DE-EUR 8600;IT-EUR 8600;GB-EUR 8600;DE-EUR 8772#sunrise-store-berlin;EUR 9782#sunrise-store-vienna;DE-EUR 9288#sunrise-store-munich;DE-EUR 9116#sunrise-store-cologne;DE-EUR 9202#sunrise-store-hamburg;US-USD 8772#sunrise-store-boston-2;USD 9782#sunrise-store-chicago;US-USD 9288#sunrise-store-boston-1;US-USD 9116#sunrise-store-sanfrancisco;US-USD 9202#sunrise-store-newyork,standard,Men>Clothing>T-shirts,https://s3-eu-west-1.amazonaws.com/commercetools-maximilian/products/079897_1_large.jpg,Polo Ralph Lauren green,ポロラルフローレングリーン,,,poloralphlauren-polo-C8312A3ZHJ-green,poloralphlauren-polo-C8312A3ZHJ-green,,,,,,,Polo Ralph Lauren grün,,poloralphlauren-polo-C8312A3ZHJ-gruen,,,,,,,,,,,A12KAA10 C8312 A3ZHJ,79897,M0E20000000E2Q5,79897,poloralphlauren,no,,xxs,XXS,green,green,緑,,,grün,,,,sporty,men,s15,,,,
,2,M0E20000000E2Q6,EUR 10750;EUR 7049 b2b;USD 10750;USD 7049 b2b;DE-EUR 8600;IT-EUR 8600;GB-EUR 8600;DE-EUR 7912#sunrise-store-berlin;EUR 10428#sunrise-store-vienna;DE-EUR 9460#sunrise-store-munich;DE-EUR 7912#sunrise-store-cologne;DE-EUR 9374#sunrise-store-hamburg;US-USD 7912#sunrise-store-boston-2;USD 10428#sunrise-store-chicago;US-USD 9460#sunrise-store-boston-1;US-USD 7912#sunrise-store-sanfrancisco;US-USD 9374#sunrise-store-newyork,,,https://s3-eu-west-1.amazonaws.com/commercetools-maximilian/products/079897_1_large.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,A12KAA10 C8312 A3ZHJ,79897,M0E20000000E2Q6,79897,poloralphlauren,no,,xs,XS,green,green,緑,,,grün,,,,sporty,men,s15,,,,
,3,M0E20000000E2Q7,EUR 10750;EUR 7049 b2b;USD 10750;USD 7049 b2b;DE-EUR 8600;IT-EUR 8600;GB-EUR 8600;DE-EUR 8514#sunrise-store-berlin;EUR 10642#sunrise-store-vienna;DE-EUR 8170#sunrise-store-munich;DE-EUR 7998#sunrise-store-cologne;DE-EUR 8084#sunrise-store-hamburg;US-USD 8514#sunrise-store-boston-2;USD 10642#sunrise-store-chicago;US-USD 8170#sunrise-store-boston-1;US-USD 7998#sunrise-store-sanfrancisco;US-USD 8084#sunrise-store-newyork,,,https://s3-eu-west-1.amazonaws.com/commercetools-maximilian/products/079897_1_large.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,A12KAA10 C8312 A3ZHJ,79897,M0E20000000E2Q7,79897,poloralphlauren,no,,s,S,green,green,緑,,,grün,,,,sporty,men,s15,,,,
,4,M0E20000000E2Q8,EUR 10750;EUR 7049 b2b;USD 10750;USD 7049 b2b;DE-EUR 8600;IT-EUR 8600;GB-EUR 8600;DE-EUR 8600#sunrise-store-berlin;EUR 11288#sunrise-store-vienna;DE-EUR 9202#sunrise-store-munich;DE-EUR 8600#sunrise-store-cologne;DE-EUR 9116#sunrise-store-hamburg;US-USD 8600#sunrise-store-boston-2;USD 11288#sunrise-store-chicago;US-USD 9202#sunrise-store-boston-1;US-USD 8600#sunrise-store-sanfrancisco;US-USD 9116#sunrise-store-newyork,,,https://s3-eu-west-1.amazonaws.com/commercetools-maximilian/products/079897_1_large.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,A12KAA10 C8312 A3ZHJ,79897,M0E20000000E2Q8,79897,poloralphlauren,no,,m,M,green,green,緑,,,grün,,,,sporty,men,s15,,,,
,5,M0E20000000E2Q9,EUR 10750;EUR 7049 b2b;USD 10750;USD 7049 b2b;DE-EUR 8600;IT-EUR 8600;GB-EUR 8600;DE-EUR 9202#sunrise-store-berlin;EUR 10320#sunrise-store-vienna;DE-EUR 7912#sunrise-store-munich;DE-EUR 7740#sunrise-store-cologne;DE-EUR 7912#sunrise-store-hamburg;US-USD 9202#sunrise-store-boston-2;USD 10320#sunrise-store-chicago;US-USD 7912#sunrise-store-boston-1;US-USD 7740#sunrise-store-sanfrancisco;US-USD 7912#sunrise-store-newyork,,,https://s3-eu-west-1.amazonaws.com/commercetools-maximilian/products/079897_1_large.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,A12KAA10 C8312 A3ZHJ,79897,M0E20000000E2Q9,79897,poloralphlauren,no,,l,L,green,green,緑,,,grün,,,,sporty,men,s15,TRUE,,,
,6,M0E20000000E2QA,EUR 10750;EUR 7049 b2b;USD 10750;USD 7049 b2b;DE-EUR 8600;IT-EUR 8600;GB-EUR 8600;DE-EUR 9116#sunrise-store-berlin;EUR 11502#sunrise-store-vienna;DE-EUR 8772#sunrise-store-munich;DE-EUR 8600#sunrise-store-cologne;DE-EUR 8772#sunrise-store-hamburg;US-USD 9116#sunrise-store-boston-2;USD 11502#sunrise-store-chicago;US-USD 8772#sunrise-store-boston-1;US-USD 8600#sunrise-store-sanfrancisco;US-USD 8772#sunrise-store-newyork,,,https://s3-eu-west-1.amazonaws.com/commercetools-maximilian/products/079897_1_large.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,A12KAA10 C8312 A3ZHJ,79897,M0E20000000E2QA,79897,poloralphlauren,no,,xl,XL,green,green,緑,,,grün,,,,sporty,men,s15,,,,
,7,M0E20000000E2QB,EUR 10750;EUR 7049 b2b;USD 10750;USD 7049 b2b;DE-EUR 8600;IT-EUR 8600;GB-EUR 8600;DE-EUR 8342#sunrise-store-berlin;EUR 9890#sunrise-store-vienna;DE-EUR 8944#sunrise-store-munich;DE-EUR 9202#sunrise-store-cologne;DE-EUR 8944#sunrise-store-hamburg;US-USD 8342#sunrise-store-boston-2;USD 9890#sunrise-store-chicago;US-USD 8944#sunrise-store-boston-1;US-USD 9202#sunrise-store-sanfrancisco;US-USD 8944#sunrise-store-newyork,,,https://s3-eu-west-1.amazonaws.com/commercetools-maximilian/products/079897_1_large.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,A12KAA10 C8312 A3ZHJ,79897,M0E20000000E2QB,79897,poloralphlauren,no,,xxl,XXL,green,green,緑,,,grün,,,,sporty,men,s15,TRUE,,,
,8,M0E20000000E2QC,EUR 10750;EUR 7049 b2b;USD 10750;USD 7049 b2b;DE-EUR 8600;IT-EUR 8600;GB-EUR 8600;DE-EUR 8858#sunrise-store-berlin;EUR 10105#sunrise-store-vienna;DE-EUR 9460#sunrise-store-munich;DE-EUR 9288#sunrise-store-cologne;DE-EUR 9460#sunrise-store-hamburg;US-USD 8858#sunrise-store-boston-2;USD 10105#sunrise-store-chicago;US-USD 9460#sunrise-store-boston-1;US-USD 9288#sunrise-store-sanfrancisco;US-USD 9460#sunrise-store-newyork,,,https://s3-eu-west-1.amazonaws.com/commercetools-maximilian/products/079897_1_large.jpg,,,,イタリアのブランドMonclerは、究極のカルトステータスを持つモダンでエレガントなダウンコートを提供します！ このモデルは、冬の間快適で暖かく保ちます。 わずかに斜めのジッパーとスタンドアップカラーが絶対的なトレンドです。 多くの季節を通してあなたを取得する作品！,,,,,,,,,,,,,,,,,,,,,,A12KAA10 C8312 A3ZHJ,79897,M0E20000000E2QC,79897,poloralphlauren,no,,xxxl,XXXL,green,green,緑,,,grün,,,,sporty,men,s15,,,,
main,1,M0E20000000F1YN,EUR 124375;EUR 81557 b2b;USD 124375;USD 81557 b2b;DE-EUR 99500;IT-EUR 99500;GB-EUR 99500;DE-EUR 107460#sunrise-store-berlin;EUR 136812#sunrise-store-vienna;DE-EUR 98505#sunrise-store-munich;DE-EUR 91540#sunrise-store-cologne;DE-EUR 107460#sunrise-store-hamburg;US-USD 107460#sunrise-store-boston-2;USD 136812#sunrise-store-chicago;US-USD 98505#sunrise-store-boston-1;US-USD 91540#sunrise-store-sanfrancisco;US-USD 107460#sunrise-store-newyork,standard,Women>Clothing>Jackets,https://s3-eu-west-1.amazonaws.com/commercetools-maximilian/products/084902_1_medium.jpg,Moncler – Down Coat “Joinville”,モンクレール–ダウンコート“ Joinville”,The Italian label Moncler presents modern elegant Down Coat with ultimate cult status! This model keeps you cozy and warm throughout the winter. The slightly diagonal zipper and stand-up collar are absolute trendy. A piece that will get you through many seasons!,,moncler-downcoat-JOINVILLE999-black,moncler-downcoat-JOINVILLE999-black,,,,,,,Moncler – Daunenmantel „Joinville“,"Das italienische Label Moncler präsentiert uns wieder modern- elegante Daunenmäntel mit Kultstatusgarantie! Mit schräg verlaufendem, kontrastierendem Reißverschluss und Stehkragen, hält dieses Modell wohlig warm und ist gleichzeig absolut stylish. Ein Teil, das Sie von Saison zu Saison begleiten wird!",moncler-daunenmantel-JOINVILLE999-schwarz,,,,,,,,,,,JOINVILLE 999,84902,M0E20000000F1YN,84902,moncler,no,,xs,0,black,black,黒,,,schwarz,,,,sporty,women,A15,,,,
,2,M0E20000000F1YO,EUR 124375;EUR 81557 b2b;USD 124375;USD 81557 b2b;DE-EUR 99500;IT-EUR 99500;GB-EUR 99500;DE-EUR 93530#sunrise-store-berlin;EUR 125619#sunrise-store-vienna;DE-EUR 104475#sunrise-store-munich;DE-EUR 103480#sunrise-store-cologne;DE-EUR 93530#sunrise-store-hamburg;US-USD 93530#sunrise-store-boston-2;USD 125619#sunrise-store-chicago;US-USD 104475#sunrise-store-boston-1;US-USD 103480#sunrise-store-sanfrancisco;US-USD 93530#sunrise-store-newyork,,,https://s3-eu-west-1.amazonaws.com/commercetools-maximilian/products/084902_1_medium.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,JOINVILLE 999,84902,M0E20000000F1YO,84902,moncler,no,,s,1,black,black,黒,,,schwarz,,,,sporty,women,A15,,,,
,3,M0E20000000F1YP,EUR 124375;EUR 81557 b2b;USD 124375;USD 81557 b2b;DE-EUR 99500;IT-EUR 99500;GB-EUR 99500;DE-EUR 104475#sunrise-store-berlin;EUR 133081#sunrise-store-vienna;DE-EUR 106465#sunrise-store-munich;DE-EUR 109450#sunrise-store-cologne;DE-EUR 94525#sunrise-store-hamburg;US-USD 104475#sunrise-store-boston-2;USD 133081#sunrise-store-chicago;US-USD 106465#sunrise-store-boston-1;US-USD 109450#sunrise-store-sanfrancisco;US-USD 94525#sunrise-store-newyork,,,https://s3-eu-west-1.amazonaws.com/commercetools-maximilian/products/084902_1_medium.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,JOINVILLE 999,84902,M0E20000000F1YP,84902,moncler,no,,m,2,black,black,黒,,,schwarz,,,,sporty,women,A15,,,,
